읍면동,구분,상호명,객실수
조천읍 ,관광호텔업,스위트캐슬,90
일도일동,호스텔업,마음스테이,20
일도이동,관광호텔업,호텔루트,77
이호일동,관광호텔업,오드리 인,82
이호일동,가족호텔업,홍익제주호텔,96
이호일동,호스텔업,카이 호스텔,23
이호일동,호스텔업,씨클리프호텔제주(구. 윈드힐호텔&리조트),41
이호일동,호스텔업,㈜호텔 알리앙스,20
이호일동,호스텔업,씨앤힐 스파펜션,20
이호일동,호스텔업,스카이관광호스텔,40
이호일동,호스텔업,시드니호텔,26
이호일동,호스텔업,자몽호스텔,32
이도일동,관광호텔업,제주KAL호텔,282
이도일동,관광호텔업,호텔 하니 크라운,61
이도일동,관광호텔업,애플관광호텔,40
이도일동,호스텔업,하모니리조트,20
이도일동,호스텔업,호텔통 연동,34
이도이동,관광호텔업,관광호텔 더레드,59
이도이동,관광호텔업,씨제이관광호텔,36
이도이동,관광호텔업,슬림관광호텔,42
이도이동,관광호텔업,(주)호텔샬롬,176
이도이동,관광호텔업,시티홀관광호텔제주,30
이도이동,호스텔업,뷰띠끄 헤르츠 호텔,31
이도이동,호스텔업,나비스 호스텔,41
용담일동,관광호텔업,제주퍼시픽호텔,177
용담일동,관광호텔업,제주갤럭시호텔,85
용담이동,관광호텔업,제주노블레스 관광호텔,150
용담이동,가족호텔업,마레보가족호텔,95
용담이동,호스텔업,더포힐스(구. 제이바다),23
"용담삼동, 화이트하우스",호스텔업,엠제이호텔,34
"용담삼동, 용두암캐빈",호스텔업,에바다호스텔,30
용담삼동,관광호텔업,로긴호텔,31
용담삼동,관광호텔업,해호텔,32
용담삼동,관광호텔업,팜파스호텔 제주,85
용담삼동,가족호텔업,다인리조트,43
용담삼동,가족호텔업,블루하와이리조트,86
용담삼동,호스텔업,조이 황토리조트,24
용담삼동,호스텔업,비스타리조트,20
용담삼동,호스텔업,노형호텔,48
용담삼동,호스텔업,정안호스텔,30
외도일동,관광호텔업,그라벨 호텔,141
외도이동,호스텔업,용두암캐빈,20
오라일동,관광호텔업,골든파크관광호텔,38
오라이동,관광호텔업,오라관광호텔,61
오등동,관광호텔업,호텔난타,204
오등동,휴양콘도미니엄업,아덴힐리조트&골프클럽,414
영남동,호스텔업,뜨레피아,21
"연동, 제주에어포트호텔",가족호텔업,오션패밀리호텔 스토리,30
연동,관광호텔업,글래드호텔앤리조트(주)메종글래드제주,513
연동,관광호텔업,제주썬호텔,203
연동,관광호텔업,제주로얄호텔,126
연동,관광호텔업,뉴아일랜드 관광호텔,100
연동,관광호텔업,펄호텔 제주,88
연동,관광호텔업,제주마리나관광호텔,64
연동,관광호텔업,삼해인관광호텔,86
연동,관광호텔업,금룡관광호텔,70
연동,관광호텔업,호텔 스카이파크 제주,147
연동,관광호텔업,라자관광호텔,99
연동,관광호텔업,뉴코리아호텔,73
연동,관광호텔업,뉴맨하탄관광호텔,56
연동,관광호텔업,파크사이드관광호텔,70
연동,관광호텔업,퓨어스테이호텔(구.현대관광호텔),43
연동,관광호텔업,엠버호텔,72
연동,관광호텔업,롯데시티호텔 제주,262
연동,관광호텔업,제주미주호텔,76
연동,관광호텔업,호텔 컬리넌,59
연동,관광호텔업,HOTEL LEO,95
연동,관광호텔업,베니키아 아이진호텔,75
연동,관광호텔업,케이 관광호텔,41
연동,관광호텔업,신라스테이제주,301
연동,관광호텔업,제니아관광호텔,67
연동,관광호텔업,플로라호텔해마,89
연동,관광호텔업,호텔더원,180
연동,관광호텔업,제주코아관광호텔,65
연동,관광호텔업,플로라제주 제이드림호텔,77
연동,관광호텔업,어반아일랜드호텔,70
연동,관광호텔업,호텔 시리우스,280
연동,호스텔업,에덴호스텔,20
연동,호스텔업,호스텔 오렌지트리,26
연동,호스텔업,레드월 호스텔,20
연동,호스텔업,미라클호텔,29
연동,호스텔업,리벤시아호스텔,21
연동,호스텔업,더퍼스트호스텔,22
애월읍 ,가족호텔업,올레리조트,53
애월읍 ,가족호텔업,베스트웨스턴 제주호텔,350
애월읍 ,가족호텔업,㈜아모렉스리조트,173
애월읍 ,가족호텔업,로긴리조트,31
애월읍 ,가족호텔업,더제주리조트,72
애월읍 ,가족호텔업,도두봉호텔,36
애월읍 ,가족호텔업,그랑빌 가족호텔,42
애월읍 ,호스텔업,스웨덴호스텔,28
애월읍 ,호스텔업,스완지,25
애월읍 ,호스텔업,레브호텔제주,31
애월읍 ,호스텔업,아모르하우스,20
애월읍 ,호스텔업,크라운골프텔,25
애월읍 ,호스텔업,예그리나호스텔,20
애월읍 ,호스텔업,우림호스텔,21
애월읍 ,호스텔업,썬하우스,22
애월읍 ,호스텔업,레드클레이호스텔,23
애월읍 ,호스텔업,노벨리조트,23
애월읍 ,호스텔업,썬비치리조트,30
애월읍 ,호스텔업,시드니호텔 2,20
애월읍 ,호스텔업,제주도 게스트하우스파티 나이스캣(구.나이스캣 호텔앤게스트하우스),46
애월읍 ,호스텔업,알리바호텔,28
애월읍 ,호스텔업,제주담 스파빌,20
애월읍 ,호스텔업,메르블루,23
애월읍 ,휴양콘도미니엄업,㈜미봉제주점 제주금강산콘도 미니엄,54
애월읍 ,휴양콘도미니엄업,애월스테이인제주,82
애월읍 ,휴양콘도미니엄업,한화리조트 제주,397
애월읍 ,휴양콘도미니엄업,한림리조트,93
애월읍 ,휴양콘도미니엄업,타미우스골프앤빌리지,133
애월읍 ,휴양콘도미니엄업,(주)블랙스톤리조트,50
애월읍 ,휴양콘도미니엄업,라헨느리조트㈜,51
애월읍 ,관광호텔업,루스톤호텔,42
애월읍 ,관광호텔업,루스톤빌라앤호텔,38
애월읍 ,관광호텔업,애월바다호텔 제주,94
애월읍 ,관광호텔업,유니호텔,62
애월읍 ,관광호텔업,베니키아호텔제주,88
애월읍 ,관광호텔업,탐라스테이,116
애월읍 ,관광호텔업,더스테이센추리호텔,91
애월읍 ,관광호텔업,다인오세아노호텔,83
애월읍,관광호텔업,제주아일랜드호텔리조트,101
애월읍,관광호텔업,코쿤애월,30
안덕면 ,관광호텔업,호텔 아루미,78
안덕면 ,가족호텔업,코델리아리조트,104
안덕면 ,호스텔업,마린포트리조트,20
안덕면 ,호스텔업,중문씨티호텔,40
안덕면 ,호스텔업,제이라움호스텔,21
안덕면 ,호스텔업,스파호텔코자,28
안덕면 ,호스텔업,제주브릭스,23
안덕면 ,호스텔업,이아호텔,42
안덕면 ,휴양콘도미니엄업,(주)레이크힐스리조트 제주,50
안덕면 ,휴양콘도미니엄업,대명 샤인빌리조트 2차,104
안덕면 ,휴양콘도미니엄업,제주녹지리조트2,212
안덕면 ,휴양콘도미니엄업,제주부영리조트,187
안덕면 ,휴양콘도미니엄업,백통신원리조트,116
안덕면 ,휴양콘도미니엄업,ES제주리조트,153
안덕면 ,관광호텔업,부영CC관광호텔,74
안덕면 ,관광호텔업,그랜드조선 제주(REDD21호 제주중문호텔),198
신효동,호스텔업,THE SERI HOSTEL,30
성산읍 ,관광호텔업,호텔더본제주,139
성산읍 ,관광호텔업,제주 티라 호텔,30
성산읍 ,관광호텔업,제주신화월드 호텔 앤 리조트,1720
성산읍 ,가족호텔업,아름다운리조트,38
성산읍 ,가족호텔업,엔파제주호텔,31
성산읍 ,가족호텔업,봄그리고가을리조트,46
성산읍 ,가족호텔업,H.Y 초이호스텔,32
성산읍 ,가족호텔업,토스카나호텔,99
성산읍 ,가족호텔업,호텔아로하,34
성산읍 ,가족호텔업,더포그레이스호텔앤리조트,144
성산읍 ,가족호텔업,브리즈베이호텔,40
성산읍 ,가족호텔업,제이뷰호텔,37
성산읍 ,가족호텔업,썬라이즈호텔 섭지코지점,40
성산읍 ,가족호텔업,제이앤비 가족호텔,31
성산읍 ,호스텔업,더 비비스 제주(The BB's JEJU),20
성산읍 ,호스텔업,화이트캐슬,20
성산읍 ,호스텔업,천지연호텔,20
성산읍 ,호스텔업,아이리스호스텔,20
성산읍 ,호스텔업,제주 휴리조트2,20
성산읍 ,호스텔업,제이앤클로이,20
성산읍 ,호스텔업,에띠에호스텔,20
성산읍 ,호스텔업,제주베네치아호텔,27
성산읍 ,호스텔업,제이힐호텔,35
성산읍 ,호스텔업,제주 나르샤펜션,20
성산읍 ,호스텔업,솔동산 스테이,20
성산읍 ,호스텔업,마루호스텔,20
성산읍 ,호스텔업,호텔 서귀피안,30
성산읍 ,호스텔업,㈜젠하이더웨이 트로피컬하이드어웨이,20
성산읍 ,휴양콘도미니엄업,신성리조트,62
성산읍 ,휴양콘도미니엄업,디 아넥스 휴양콘도미니엄,43
성산읍 ,관광호텔업,오션블루호텔,30
성산읍 ,관광호텔업,히든클리프호텔&네이쳐,250
서홍동,관광호텔업,호텔화인,96
서홍동,관광호텔업,비케이호텔인제주,55
서홍동,호스텔업,바다해호텔,20
서홍동,호스텔업,휴안스테이호텔,22
서호동,관광호텔업,㈜신세계조선호텔 그랜드조선 제주 힐스윗,50
서호동,호스텔업,비스비제주 앤 팜빌리지,29
서귀동,관광호텔업,헤이서귀포,134
서귀동,관광호텔업,주식회사 호텔크리스탈,72
서귀동,관광호텔업,호텔굿인 서귀포,41
서귀동,관광호텔업,호텔 테디밸리,72
서귀동,관광호텔업,호텔랑주,31
서귀동,관광호텔업,베니키아 중문호텔,45
서귀동,관광호텔업,블루마운틴관광호텔,38
서귀동,가족호텔업,파미유리조트 가족호텔,35
서귀동,가족호텔업,코델리아S호텔,236
서귀동,호스텔업,펠리체리조트,20
서귀동,호스텔업,휴호스텔,20
서귀동,호스텔업,돌과 바람 리조트,20
서귀동,호스텔업,오션힐스테이,20
서귀동,호스텔업,보우힐펜션,24
서귀동,호스텔업,모멘토하우스,21
서귀동,호스텔업,제주 나인 부띠끄호텔,21
서귀동,호스텔업,렉스호스텔,20
서귀동,호스텔업,아인스호스텔,45
서귀동,호스텔업,미도호스텔,20
서귀동,호스텔업,㈜알파캠프 탐라호스텔,20
서귀동,호스텔업,호텔연,27
서귀동,호스텔업,스와브호텔,25
서귀동,호스텔업,K두빛나래리조트,20
서귀동,호스텔업,T아일랜드호스텔,20
서귀동,호스텔업,중문스테이,27
서귀동,호스텔업,피노호텔,30
서귀동,호스텔업,서현호스텔,26
서귀동,호스텔업,아띠랑스,20
서귀동,호스텔업,한옥호텔 한라궁,21
서귀동,호스텔업,HOTEL 이디,20
서귀동,호스텔업,부띠끄스테이 스놉,20
색달동,관광호텔업,(주)호텔신라 제주신라,429
색달동,관광호텔업,㈜호텔롯데 롯데호텔 제주,500
색달동,관광호텔업,더 쇼어호텔 제주,224
색달동,관광호텔업,㈜교원 스위트호텔 제주,90
색달동,관광호텔업,서귀포KAL호텔,225
색달동,관광호텔업,글래드호텔앤리조트㈜제주항공우주호텔,110
색달동,관광호텔업,호텔 캘리포니아,64
색달동,관광호텔업,playce(플레이스),235
색달동,관광호텔업,골드윈호텔&스위트,51
색달동,한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,26
색달동,가족호텔업,중문빌리지 가족호텔,30
색달동,가족호텔업,아라온리조트,55
색달동,가족호텔업,호텔 휴식 서귀포,74
색달동,호스텔업,더스테이,20
색달동,휴양콘도미니엄업,켄싱턴리조트 서귀포점,246
색달동,휴양콘도미니엄업,스프링데일 골프&리조트,90
상효동,호스텔업,제주 휴리조트1,20
상효동,호스텔업,호텔 버지니아,58
상효동,휴양콘도미니엄업,루체빌리조트,68
상예동,관광호텔업,성산썬라이즈호텔,47
상예동,가족호텔업,중문통나무가족호텔,30
상예동,호스텔업,호텔펠리시아,31
상예동,휴양콘도미니엄업,금호리조트(주) 제주,326
상예동,휴양콘도미니엄업,더큐브리조트제주,255
삼양이동,관광호텔업,블랙샌즈관광호텔,78
삼도일동,관광호텔업,올레관광호텔,71
삼도일동,관광호텔업,아스타호텔,130
삼도일동,관광호텔업,사하라,37
삼도일동,관광호텔업,스카이힐비즈니스 관광호텔,78
삼도일동,호스텔업,삼다호스텔,21
삼도이동,관광호텔업,제주오리엔탈호텔,321
삼도이동,관광호텔업,라마다프라자제주호텔,400
삼도이동,관광호텔업,스타즈호텔 제주 로베로,121
삼도이동,관광호텔업,제주서울관광호텔,108
삼도이동,관광호텔업,제주팔레스관광호텔,94
봉개동,휴양콘도미니엄업,세인트포 휴양콘도미니엄,52
보목동,호스텔업,가산토방 호스텔,28
보목동,호스텔업,프라이빗리조트,21
보목동,호스텔업,레지나펜션,27
보목동,호스텔업,엘르,23
법환동,가족호텔업,㈜일레인,42
법환동,호스텔업,돈내코 리조트,20
법환동,호스텔업,소금막호스텔,20
법환동,호스텔업,중문썬라이즈 호스텔,40
법환동,호스텔업,칠십리호텔,27
법환동,호스텔업,더클라우드 풀앤스파,23
법환동,휴양콘도미니엄업,서귀포월드컵리조트,131
법환동,휴양콘도미니엄업,(주)호텔롯데 롯데리조트제주,73
동홍동,휴양콘도미니엄업,우리들리조트 아트텔,25
동홍동,휴양콘도미니엄업,벨룸(velum) 리조트,59
도두일동,관광호텔업,에스호텔,88
도두일동,가족호텔업,제주나인리조트,30
도두일동,가족호텔업,호텔펄리플러스,125
도두일동,가족호텔업,블루하와이호텔,99
도두일동,호스텔업,나디아호스텔,20
도두이동,호스텔업,엠버리조트,20
도두이동,호스텔업,솔트,20
도두이동,호스텔업,더제이드,20
대포동,관광호텔업,제주리시온관광호텔,77
대포동,가족호텔업,뷰티플리조트,32
대포동,가족호텔업,중문리조트,44
대포동,가족호텔업,와이리조트 제주,32
대포동,호스텔업,돔베리조트,20
대포동,호스텔업,호텔 엠씨씨,21
대포동,호스텔업,㈜한국전화번호부엠티에스 제주M리조트,20
대포동,호스텔업,호텔라벤더 제주,22
대포동,호스텔업,까사 데 비발디,20
대포동,호스텔업,더 그랜드 섬오름,79
대정읍,가족호텔업,담앤루,43
대정읍,호스텔업,성산호스텔,20
대정읍,호스텔업,호텔 더 그랑 중문,25
대정읍,호스텔업,퍼블리코,23
대정읍,호스텔업,브릭 216,20
대정읍,호스텔업,더블루제주,20
대정읍,소형호텔업,모슬포2호텔,24
대정읍,소형호텔업,모슬포3호텔,24
대정읍,소형호텔업,HOTEL 52,20
대정읍,휴양콘도미니엄업,일성제주콘도미니엄,50
노형동,관광호텔업,엠버시티호텔,51
노형동,관광호텔업,엠버호텔 센트럴,130
노형동,관광호텔업,제주레슬리호텔,96
노형동,관광호텔업,그랜드하얏트 제주,750
노형동,가족호텔업,다인리조트 투(2차),39
노형동,호스텔업,제주프레임호스텔,20
노형동,호스텔업,물뜰에 쉼팡 리조트,36
내도동,관광호텔업,씨앤관광호텔,60
내도동,관광호텔업,제주인관광호텔,79
내도동,가족호텔업,샹그릴라호텔,198
내도동,호스텔업,제주하하호스텔(구.무지개호스텔·하하호스텔),36
남원읍 ,관광호텔업,파인힐호텔,55
남원읍,호스텔업,빅썸호스텔,24
남원읍,호스텔업,올레휴,20
남원읍,휴양콘도미니엄업,대명 샤인빌리조트,310
남원읍,휴양콘도미니엄업,베이힐 풀 앤 빌라,30
남원읍,휴양콘도미니엄업,중문훼미리휴양콘도미니엄,102
구좌읍 ,관광호텔업,메이더호텔,54
구좌읍,가족호텔업,그림리조트,30
구좌읍,가족호텔업,부띠끄호텔빌라드애월,53
구좌읍,호스텔업,관광호스텔해밀,21
구좌읍,호스텔업,에코그린펜션,21
구좌읍,호스텔업,누가빌리지호스텔,36
구좌읍,휴양콘도미니엄업,크라운컨트리클럽 골프 빌리지,25
구좌읍,휴양콘도미니엄업,캠퍼트리호텔앤리조트,151
건입동,관광호텔업,심스호텔,92
건입동,관광호텔업,하버관광호텔,30
강정동,관광호텔업,호텔빠레브 주식회사,204
강정동,관광호텔업,호텔 스카브로,41
강정동,관광호텔업,풍경호텔,48
강정동,가족호텔업,호텔 섬오름,53
강정동,가족호텔업,성산아쿠아비치호텔,61
강정동,호스텔업,아마스빌 호스텔,20
강정동,호스텔업,비울채울,20
강정동,호스텔업,올레요리조트,23
강정동,호스텔업,코델리아호스텔,22
강정동,호스텔업,해성파크텔,30
강정동,호스텔업,제주아이브리조트,63
강정동,호스텔업,제주세인트하우스,22
강정동,호스텔업,파밀리아,28
강정동,호스텔업,펜션연리,21
강정동,호스텔업,백패커스홈,29
강정동,호스텔업,모던플레이스,23
강정동,호스텔업,해리안호텔,23
강정동,휴양콘도미니엄업,씨제이대한통운㈜ 나인브릿지콘도미니엄,100
